SECURITY DETAIL VIEW (EQUITY)
Ekspress Grupp (EEG1T)
Period: 2008-05-18 - 2008-11-18
Currency: EUR
Marketplace: TSE
Name: EEG1T
Date;Average Price;Open Price;High Price;Low Price;Last close Price;Last Price;Price Change(%);Best bid;Best ask;Deals;No of shares;Turnover
2008-10-27;1,29;1,30;1,45;1,26;1,39;1,45;4,32%;1,25;1,40;8;2775;3578,35;
2008-10-28;1,28;1,28;1,28;1,28;1,45;1,28;-11,72%;1,28;1,43;1;209;267,52;
2008-10-29;1,22;1,32;1,32;1,13;1,28;1,26;-1,56%;1,13;1,26;6;485;590,84;
2008-10-30;1,25;1,25;1,25;1,25;1,26;1,25;-0,79%;1,25;1,30;4;1562;1952,50;
2008-10-31;1,25;1,21;1,30;1,21;1,25;1,30;4,00%;1,30;1,34;2;320;398,90;
2008-11-03;1,45;1,49;1,49;1,30;1,30;1,40;7,69%;1,32;1,49;5;763;1109,90;
2008-11-04;1,41;1,40;1,45;1,40;1,40;1,45;3,57%;1,40;1,46;4;1970;2769,50;
2008-11-05;1,46;1,50;1,50;1,39;1,45;1,39;-4,14%;1,32;1,39;11;15254;22219,96;
2008-11-06;1,32;1,41;1,41;1,30;1,39;1,30;-6,47%;1,30;1,35;9;2340;3098,97;
2008-11-07;1,18;1,35;1,35;1,11;1,30;1,23;-5,38%;1,16;1,25;18;4756;5599,34;
2008-11-10;1,20;1,23;1,25;1,15;1,23;1,15;-6,50%;1,15;1,28;23;21606;25916,45;
2008-11-11;1,20;1,20;1,20;1,20;1,15;1,20;4,35%;1,16;1,19;3;700;840,00;
2008-11-12;1,13;1,15;1,17;1,09;1,20;1,09;-9,17%;1,09;1,17;9;2153;2437,75;
2008-11-13;1,09;1,09;1,15;1,06;1,09;1,10;0,92%;1,07;1,10;16;5770;6291,71;
2008-11-14;1,18;1,15;1,21;1,15;1,10;1,21;10,00%;1,10;1,21;5;1058;1245,93;
2008-11-17;1,12;1,19;1,19;1,05;1,21;1,05;-13,22%;1,05;1,12;7;3775;4232,22;
