BALTIC EQUITY LIST
DATE: 2008-11-19
Name;Currency;MarketPlace;ListName;Average Price;Open Price;High Price;Low Price;Last close Price;Last Price;Price Change(%);Best bid;Best ask;Deals;No of shares;Turnover
APG1L;EUR;VSE;BALTIC MAIN LIST;0,61;0,58;0,64;0,58;0,58;0,62;7,50%;0,62;0,63;28;125436;76355,35;
ARC1T;EUR;TSE;BALTIC MAIN LIST;0,22;0,24;0,24;0,21;0,23;0,22;-4,35%;0,21;0,22;25;29688;6400,76;
AVG1L;EUR;VSE;BALTIC MAIN LIST;0,68;0,65;0,68;0,64;0,69;0,68;-0,84%;0,65;0,68;10;11850;8016,36;
BLT1T;EUR;TSE;BALTIC MAIN LIST;1,13;1,10;1,15;1,06;1,06;1,15;8,49%;1,08;1,16;30;71950;81156,04;
CTS1L;EUR;VSE;BALTIC MAIN LIST;0,92;0,88;0,93;0,88;0,87;0,92;4,98%;0,92;0,95;10;4783;4397,78;
EEG1T;EUR;TSE;BALTIC MAIN LIST;0,94;0,94;1,00;0,93;1,09;0,99;-9,17%;0,00;0,94;20;5982;5622,38;
EEH1T;EUR;TSE;BALTIC MAIN LIST;1,21;1,23;1,38;1,15;1,20;1,18;-1,67%;1,18;1,25;24;16267;19608,98;
ETLAT;EUR;TSE;BALTIC MAIN LIST;4,47;4,54;4,54;4,40;4,60;4,41;-4,13%;4,41;4,49;38;10553;47174,24;
GRD1R;EUR;RSE;BALTIC MAIN LIST;4,70;4,87;4,87;4,41;5,05;4,41;-12,68%;4,41;4,54;17;1830;8609,51;
HAE1T;EUR;TSE;BALTIC MAIN LIST;0,00;1,73;0,00;0,00;1,73;1,73;-%;1,71;1,80;0;0;0,00;
IVL1L;EUR;VSE;BALTIC MAIN LIST;0,53;0,49;0,55;0,48;0,48;0,55;13,86%;0,54;0,55;20;6466;3457,98;
JRV1T;EUR;TSE;BALTIC MAIN LIST;0,19;0,17;0,20;0,17;0,18;0,20;11,11%;0,18;0,20;6;5210;1002,00;
KLV1T;EUR;TSE;BALTIC MAIN LIST;0,97;0,97;0,97;0,97;0,97;0,97;-%;0,97;0,00;1;850;824,50;
LDJ1L;EUR;VSE;BALTIC MAIN LIST;0,36;0,36;0,36;0,34;0,37;0,34;-7,81%;0,34;0,36;22;14346;5093,94;
LSC1R;EUR;RSE;BALTIC MAIN LIST;1,13;1,14;1,14;1,12;1,17;1,14;-2,44%;1,12;1,14;3;1725;1946,49;
MRK1T;EUR;TSE;BALTIC MAIN LIST;3,00;3,00;3,00;2,90;2,95;2,90;-1,69%;2,90;3,00;15;9247;27711,50;
NRM1T;EUR;TSE;BALTIC MAIN LIST;3,07;3,06;3,37;3,06;3,35;3,37;0,60%;3,06;3,09;2;1020;3127,40;
OEG1T;EUR;TSE;BALTIC MAIN LIST;0,61;0,63;0,63;0,59;0,61;0,61;-%;0,60;0,61;56;437320;266425,57;
OLF1R;EUR;RSE;BALTIC MAIN LIST;0,87;0,87;0,87;0,87;0,87;0,87;-%;0,77;0,87;3;100;86,80;
PTR1L;EUR;VSE;BALTIC MAIN LIST;0,39;0,42;0,42;0,38;0,38;0,38;0,76%;0,38;0,38;15;8527;3360,08;
PZV1L;EUR;VSE;BALTIC MAIN LIST;0,00;1,09;0,00;0,00;1,09;1,09;-%;1,07;1,07;0;0;0,00;
RST1L;EUR;VSE;BALTIC MAIN LIST;0,62;0,63;0,63;0,62;0,64;0,62;-2,73%;0,62;0,62;30;434539;268908,31;
RSU1L;EUR;VSE;BALTIC MAIN LIST;0,54;0,61;0,61;0,52;0,56;0,52;-7,69%;0,51;0,55;6;6100;3279,08;
SAB1L;EUR;VSE;BALTIC MAIN LIST;0,27;0,27;0,27;0,25;0,27;0,27;2,17%;0,27;0,28;47;664375;180244,50;
SAF1R;EUR;RSE;BALTIC MAIN LIST;0,64;0,64;0,65;0,63;0,63;0,64;2,27%;0,64;0,67;10;1850;1181,70;
SAN1L;EUR;VSE;BALTIC MAIN LIST;2,69;2,62;2,84;2,62;2,84;2,80;-1,22%;2,68;2,80;8;1032;2777,88;
SFGAT;EUR;TSE;BALTIC MAIN LIST;0,52;0,55;0,55;0,50;0,50;0,55;10,00%;0,48;0,53;7;8552;4481,00;
SMN1T;EUR;TSE;BALTIC MAIN LIST;0,00;3,11;0,00;0,00;3,11;3,11;-%;3,10;0,00;0;0;0,00;
SNG1L;EUR;VSE;BALTIC MAIN LIST;0,00;0,38;0,00;0,00;0,38;0,38;-%;0,00;0,43;0;0;0,00;
TAL1T;EUR;TSE;BALTIC MAIN LIST;0,36;0,36;0,37;0,35;0,35;0,37;5,71%;0,37;0,38;68;1001954;367891,89;
TEO1L;EUR;VSE;BALTIC MAIN LIST;0,37;0,37;0,37;0,36;0,36;0,37;0,79%;0,37;0,37;171;489091;180421,71;
TKM1T;EUR;TSE;BALTIC MAIN LIST;1,71;1,95;1,95;1,67;1,95;1,70;-12,82%;1,70;1,75;82;77141;131912,58;
TPD1T;EUR;TSE;BALTIC MAIN LIST;0,00;0,37;0,00;0,00;0,37;0,37;-%;0,35;0,40;0;0;0,00;
TVEAT;EUR;TSE;BALTIC MAIN LIST;9,25;9,30;9,49;9,10;9,10;9,49;4,29%;9,30;9,49;16;9322;86261,60;
UKB1L;EUR;VSE;BALTIC MAIN LIST;0,17;0,16;0,17;0,15;0,15;0,17;13,21%;0,17;0,00;368;1458087;245686,90;
UTR1L;EUR;VSE;BALTIC MAIN LIST;0,00;0,41;0,00;0,00;0,41;0,41;-%;0,00;0,43;0;0;0,00;
VBL1L;EUR;VSE;BALTIC MAIN LIST;0,00;3,72;0,00;0,00;3,72;3,72;-%;0,00;3,48;0;0;0,00;
VLP1L;EUR;VSE;BALTIC MAIN LIST;0,24;0,24;0,24;0,24;0,23;0,24;5,00%;0,22;0,24;3;1380;335,73;
VNF1R;EUR;RSE;BALTIC MAIN LIST;1,47;1,47;1,51;1,42;1,44;1,49;3,96%;1,35;1,51;22;7965;11714,72;
VSN1T;EUR;TSE;BALTIC MAIN LIST;0,80;0,80;0,99;0,80;0,92;0,99;7,61%;0,79;0,99;6;2108;1690,20;
ALT1L;EUR;VSE;BALTIC SECONDARY LIST;0,00;0,30;0,00;0,00;0,30;0,30;-%;0,26;0,30;0;0;0,00;
ANK1L;EUR;VSE;BALTIC SECONDARY LIST;0,00;0,14;0,00;0,00;0,14;0,14;-%;0,00;0,14;0;0;0,00;
BAL1R;EUR;RSE;BALTIC SECONDARY LIST;1,47;1,42;1,48;1,42;1,44;1,48;2,97%;1,42;1,48;6;1281;1889,29;
BLZ1R;EUR;RSE;BALTIC SECONDARY LIST;1,15;1,15;1,15;1,15;1,00;1,15;15,71%;1,15;0,00;1;156;179,79;
BRV1R;EUR;RSE;BALTIC SECONDARY LIST;0,00;1,85;0,00;0,00;1,85;1,85;-%;0,00;0,00;0;0;0,00;
DKR1L;EUR;VSE;BALTIC SECONDARY LIST;1,05;1,05;1,05;1,05;1,05;1,05;-%;1,05;1,05;6;3737;3917,96;
DPK1R;EUR;RSE;BALTIC SECONDARY LIST;0,00;0,28;0,00;0,00;0,28;0,28;-%;0,26;0,28;0;0;0,00;
FRM1R;EUR;RSE;BALTIC SECONDARY LIST;0,00;1,88;0,00;0,00;1,88;1,88;-%;1,61;1,92;0;0;0,00;
GRG1L;EUR;VSE;BALTIC SECONDARY LIST;0,14;0,14;0,14;0,14;0,12;0,14;13,95%;0,14;0,14;1;110;15,61;
GRZ1R;EUR;RSE;BALTIC SECONDARY LIST;0,00;1,39;0,00;0,00;1,39;1,39;-%;1,20;0,00;0;0;0,00;
GUB1L;EUR;VSE;BALTIC SECONDARY LIST;0,00;0,12;0,00;0,00;0,12;0,12;-%;0,12;0,00;0;0;0,00;
