BALTIC EQUITY LIST
DATE: 2008-11-20
Name;Currency;MarketPlace;ListName;Average Price;Open Price;High Price;Low Price;Last close Price;Last Price;Price Change(%);Best bid;Best ask;Deals;No of shares;Turnover
APG1L;EUR;VSE;BALTIC MAIN LIST;0,60;0,62;0,62;0,57;0,62;0,62;-0,47%;0,60;0,62;32;17900;10815,07;
ARC1T;EUR;TSE;BALTIC MAIN LIST;0,19;0,21;0,21;0,19;0,22;0,20;-9,09%;0,19;0,20;39;81843;15916,00;
AVG1L;EUR;VSE;BALTIC MAIN LIST;0,68;0,70;0,70;0,65;0,68;0,68;-%;0,65;0,68;15;11450;7772,32;
BLT1T;EUR;TSE;BALTIC MAIN LIST;1,02;1,05;1,05;1,00;1,15;1,00;-13,04%;1,00;1,05;49;33812;34441,85;
CTS1L;EUR;VSE;BALTIC MAIN LIST;0,87;0,88;0,91;0,83;0,92;0,91;-0,95%;0,87;0,91;13;11692;10149,79;
EEG1T;EUR;TSE;BALTIC MAIN LIST;0,88;0,93;0,94;0,85;0,99;0,85;-14,14%;0,85;0,90;19;10278;9007,79;
EEH1T;EUR;TSE;BALTIC MAIN LIST;1,11;1,12;1,20;1,10;1,18;1,10;-6,78%;1,09;1,10;11;19550;22172,00;
ETLAT;EUR;TSE;BALTIC MAIN LIST;4,22;4,40;4,40;4,12;4,41;4,17;-5,44%;4,15;4,17;45;110338;460634,68;
GRD1R;EUR;RSE;BALTIC MAIN LIST;4,53;4,50;4,67;4,50;4,41;4,67;5,81%;4,54;4,68;8;618;2798,99;
HAE1T;EUR;TSE;BALTIC MAIN LIST;1,66;1,60;1,80;1,58;1,73;1,58;-8,67%;1,48;1,70;4;3000;4975,50;
IVL1L;EUR;VSE;BALTIC MAIN LIST;0,49;0,54;0,54;0,47;0,55;0,52;-5,29%;0,49;0,52;12;3681;1820,37;
JRV1T;EUR;TSE;BALTIC MAIN LIST;0,17;0,18;0,20;0,17;0,20;0,17;-15,00%;0,17;0,18;28;62177;10779,79;
KLV1T;EUR;TSE;BALTIC MAIN LIST;0,95;0,95;0,95;0,95;0,97;0,95;-2,06%;0,95;0,00;1;50;47,50;
LDJ1L;EUR;VSE;BALTIC MAIN LIST;0,33;0,34;0,34;0,32;0,34;0,32;-5,93%;0,32;0,32;24;33885;11143,48;
LSC1R;EUR;RSE;BALTIC MAIN LIST;1,14;1,18;1,18;1,12;1,14;1,12;-1,25%;1,11;1,12;2;308;351,90;
MRK1T;EUR;TSE;BALTIC MAIN LIST;0,00;2,90;0,00;0,00;2,90;2,90;-%;2,80;2,92;1;4724;12991,00;
NRM1T;EUR;TSE;BALTIC MAIN LIST;3,14;3,09;3,35;3,00;3,37;3,35;-0,59%;3,01;3,36;11;4575;14375,60;
OEG1T;EUR;TSE;BALTIC MAIN LIST;0,55;0,55;0,58;0,52;0,61;0,55;-9,84%;0,54;0,55;63;77322;42538,65;
OLF1R;EUR;RSE;BALTIC MAIN LIST;0,76;0,77;0,77;0,75;0,87;0,75;-13,11%;0,74;0,77;2;100;76,12;
PTR1L;EUR;VSE;BALTIC MAIN LIST;0,35;0,35;0,36;0,35;0,38;0,35;-9,09%;0,35;0,36;42;80556;28001,10;
PZV1L;EUR;VSE;BALTIC MAIN LIST;1,03;0,91;1,08;0,91;1,09;1,08;-1,33%;1,07;1,07;2;29;29,76;
RST1L;EUR;VSE;BALTIC MAIN LIST;0,60;0,62;0,62;0,59;0,62;0,59;-4,21%;0,59;0,61;17;1071305;636694,05;
