BALTIC EQUITY LIST
DATE: 2008-11-21
Name;Currency;MarketPlace;ListName;Average Price;Open Price;High Price;Low Price;Last close Price;Last Price;Price Change(%);Best bid;Best ask;Deals;No of shares;Turnover
ANK1L;EUR;VSE;BALTIC SECONDARY LIST;0,00;0,14;0,00;0,00;0,14;0,14;-%;0,00;0,13;0;0;0,00;
BAL1R;EUR;RSE;BALTIC SECONDARY LIST;1,44;1,45;1,45;1,44;1,47;1,44;-1,94%;1,44;1,48;3;224;322,20;
BLZ1R;EUR;RSE;BALTIC SECONDARY LIST;0,00;1,20;0,00;0,00;1,20;1,20;-%;1,15;0,00;0;0;0,00;
BRV1R;EUR;RSE;BALTIC SECONDARY LIST;0,00;1,85;0,00;0,00;1,85;1,85;-%;0,00;0,00;0;0;0,00;
DKR1L;EUR;VSE;BALTIC SECONDARY LIST;1,04;1,04;1,04;1,04;1,05;1,04;-0,55%;0,98;1,04;2;500;521,32;
DPK1R;EUR;RSE;BALTIC SECONDARY LIST;0,27;0,27;0,27;0,27;0,26;0,27;5,56%;0,27;0,28;2;284;76,78;
FRM1R;EUR;RSE;BALTIC SECONDARY LIST;0,00;1,88;0,00;0,00;1,88;1,88;-%;1,49;1,71;0;0;0,00;
GRG1L;EUR;VSE;BALTIC SECONDARY LIST;0,12;0,12;0,13;0,12;0,12;0,12;2,38%;0,12;0,12;5;6770;846,01;
GRZ1R;EUR;RSE;BALTIC SECONDARY LIST;0,00;1,35;0,00;0,00;1,35;1,35;-%;1,15;1,54;0;0;0,00;
GUB1L;EUR;VSE;BALTIC SECONDARY LIST;0,00;0,11;0,00;0,00;0,11;0,11;-%;0,11;0,12;0;0;0,00;
GZE1R;EUR;RSE;BALTIC SECONDARY LIST;7,82;7,81;7,83;7,81;7,73;7,83;1,29%;7,27;7,83;3;57;445,86;
KA11R;EUR;RSE;BALTIC SECONDARY LIST;0,00;0,57;0,00;0,00;0,57;0,57;-%;0,50;0,57;0;0;0,00;
KBL1L;EUR;VSE;BALTIC SECONDARY LIST;0,00;0,43;0,00;0,00;0,43;0,43;-%;0,00;0,38;0;0;0,00;
KCM1R;EUR;RSE;BALTIC SECONDARY LIST;2,15;2,13;2,16;2,13;2,28;2,13;-6,25%;0,00;2,26;4;700;1502,55;
KJK1L;EUR;VSE;BALTIC SECONDARY LIST;0,00;3,04;0,00;0,00;3,04;3,04;-%;2,61;2,90;0;0;0,00;
KNF1L;EUR;VSE;BALTIC SECONDARY LIST;0,20;0,20;0,20;0,19;0,20;0,19;-4,29%;0,19;0,19;24;31162;6154,70;
KNR1L;EUR;VSE;BALTIC SECONDARY LIST;0,00;0,58;0,00;0,00;0,58;0,58;-%;0,00;0,67;0;0;0,00;
KTK1L;EUR;VSE;BALTIC SECONDARY LIST;0,00;0,12;0,00;0,00;0,12;0,12;-%;0,00;0,12;0;0;0,00;
LAP1R;EUR;RSE;BALTIC SECONDARY LIST;0,00;2,48;0,00;0,00;2,48;2,48;-%;0,00;2,45;0;0;0,00;
LEL1L;EUR;VSE;BALTIC SECONDARY LIST;1,30;1,30;1,30;1,30;1,30;1,30;-%;1,25;1,30;1;3236;4217,45;
LEN1L;EUR;VSE;BALTIC SECONDARY LIST;0,78;0,80;0,81;0,78;0,78;0,81;2,95%;0,78;0,81;4;1005;788,30;
LFO1L;EUR;VSE;BALTIC SECONDARY LIST;4,53;4,68;4,68;4,36;4,89;4,58;-6,40%;4,57;4,63;85;7626;34514,26;
LJL1L;EUR;VSE;BALTIC SECONDARY LIST;0,04;0,05;0,05;0,04;0,05;0,05;-5,88%;0,04;0,05;61;484110;21365,56;
LJM1R;EUR;RSE;BALTIC SECONDARY LIST;0,00;3,39;0,00;0,00;3,39;3,39;-%;0,00;0,00;0;0;0,00;
LKB1R;EUR;RSE;BALTIC SECONDARY LIST;1,14;1,14;1,14;1,14;1,14;1,14;-%;1,11;1,17;3;900;1024,47;
