BALTIC EQUITY LIST
DATE: 2008-11-17
Name;Currency;MarketPlace;ListName;Average Price;Open Price;High Price;Low Price;Last close Price;Last Price;Price Change(%);Best bid;Best ask;Deals;No of shares;Turnover
APG1L;EUR;VSE;BALTIC MAIN LIST;0,64;0,69;0,69;0,59;0,68;0,65;-4,26%;0,62;0,65;37;9685;6235,00;
ARC1T;EUR;TSE;BALTIC MAIN LIST;0,25;0,25;0,25;0,24;0,24;0,25;4,17%;0,24;0,25;4;5260;1305,50;
AVG1L;EUR;VSE;BALTIC MAIN LIST;0,67;0,64;0,69;0,64;0,63;0,69;8,22%;0,67;0,69;26;18360;12389,01;
BLT1T;EUR;TSE;BALTIC MAIN LIST;1,20;1,20;1,26;1,17;1,17;1,17;-%;1,15;1,17;9;8713;10436,88;
CTS1L;EUR;VSE;BALTIC MAIN LIST;0,93;0,96;0,96;0,87;1,00;0,93;-7,20%;0,93;1,07;5;1140;1059,26;
EEG1T;EUR;TSE;BALTIC MAIN LIST;1,12;1,19;1,19;1,05;1,21;1,05;-13,22%;1,05;1,12;7;3775;4232,22;
EEH1T;EUR;TSE;BALTIC MAIN LIST;1,41;1,48;1,48;1,27;1,40;1,27;-9,29%;1,27;1,39;10;17910;25253,40;
ETLAT;EUR;TSE;BALTIC MAIN LIST;4,81;4,94;4,94;4,74;4,75;4,75;-%;4,74;4,75;21;9103;43745,02;
GRD1R;EUR;RSE;BALTIC MAIN LIST;0,00;5,05;0,00;0,00;5,05;5,05;-%;0,00;0,00;0;0;0,00;
HAE1T;EUR;TSE;BALTIC MAIN LIST;1,62;1,62;1,62;1,62;1,61;1,62;0,62%;1,62;1,75;1;200;324,00;
IVL1L;EUR;VSE;BALTIC MAIN LIST;0,57;0,63;0,63;0,55;0,60;0,56;-6,25%;0,56;0,56;31;11712;6672,73;
JRV1T;EUR;TSE;BALTIC MAIN LIST;0,20;0,20;0,20;0,19;0,19;0,19;-%;0,19;0,20;2;2714;536,66;
KLV1T;EUR;TSE;BALTIC MAIN LIST;0,00;1,15;0,00;0,00;1,15;1,15;-%;0,97;1,11;0;0;0,00;
LDJ1L;EUR;VSE;BALTIC MAIN LIST;0,38;0,39;0,39;0,38;0,38;0,38;-%;0,38;0,41;2;1981;754,55;
LSC1R;EUR;RSE;BALTIC MAIN LIST;0,00;1,17;0,00;0,00;1,17;1,17;-%;0,00;0,00;0;0;0,00;
MRK1T;EUR;TSE;BALTIC MAIN LIST;3,18;3,19;3,25;3,05;3,15;3,17;0,63%;3,02;3,17;8;1700;5404,00;
NRM1T;EUR;TSE;BALTIC MAIN LIST;3,35;3,35;3,35;3,35;3,20;3,35;4,69%;3,13;3,28;1;180;603,00;
OEG1T;EUR;TSE;BALTIC MAIN LIST;0,70;0,73;0,73;0,68;0,70;0,68;-2,86%;0,68;0,71;38;258954;181372,75;
OLF1R;EUR;RSE;BALTIC MAIN LIST;0,00;0,87;0,00;0,00;0,87;0,87;-%;0,00;0,00;0;0;0,00;
PTR1L;EUR;VSE;BALTIC MAIN LIST;0,45;0,48;0,48;0,44;0,48;0,44;-7,27%;0,45;0,47;15;6760;3022,43;
PZV1L;EUR;VSE;BALTIC MAIN LIST;1,09;1,09;1,09;1,09;1,09;1,09;-%;1,09;1,09;1;100;109,19;
RST1L;EUR;VSE;BALTIC MAIN LIST;0,66;0,62;0,66;0,62;0,64;0,66;4,09%;0,65;0,66;18;27259;17881,10;
RSU1L;EUR;VSE;BALTIC MAIN LIST;0,00;0,63;0,00;0,00;0,63;0,63;-%;0,58;0,61;0;0;0,00;
SAB1L;EUR;VSE;BALTIC MAIN LIST;0,28;0,29;0,29;0,28;0,29;0,28;-2,00%;0,28;0,28;29;70065;19902,31;
SAF1R;EUR;RSE;BALTIC MAIN LIST;0,00;0,63;0,00;0,00;0,63;0,63;-%;0,00;0,00;0;0;0,00;
SAN1L;EUR;VSE;BALTIC MAIN LIST;2,66;3,04;3,04;2,61;2,90;2,87;-1,00%;2,68;2,84;22;13572;36121,17;
SFGAT;EUR;TSE;BALTIC MAIN LIST;0,67;0,67;0,67;0,58;0,63;0,58;-7,94%;0,58;0,63;3;377450;181352,00;
SMN1T;EUR;TSE;BALTIC MAIN LIST;0,00;3,11;0,00;0,00;3,11;3,11;-%;3,10;0,00;0;0;0,00;
SNG1L;EUR;VSE;BALTIC MAIN LIST;0,00;0,38;0,00;0,00;0,38;0,38;-%;0,00;0,41;0;0;0,00;
TAL1T;EUR;TSE;BALTIC MAIN LIST;0,37;0,38;0,38;0,36;0,36;0,38;5,56%;0,37;0,38;21;35140;12966,50;
TEO1L;EUR;VSE;BALTIC MAIN LIST;0,39;0,40;0,40;0,39;0,40;0,39;-3,62%;0,39;0,39;154;392418;152694,74;
TKM1T;EUR;TSE;BALTIC MAIN LIST;2,12;2,15;2,20;2,02;2,15;2,02;-6,05%;2,01;2,09;18;4852;10302,20;
TPD1T;EUR;TSE;BALTIC MAIN LIST;0,38;0,42;0,42;0,37;0,43;0,37;-13,95%;0,37;0,45;4;5050;1893,50;
TVEAT;EUR;TSE;BALTIC MAIN LIST;9,75;9,80;9,80;9,50;9,80;9,50;-3,06%;9,40;9,55;5;315;3072,00;
UKB1L;EUR;VSE;BALTIC MAIN LIST;0,19;0,19;0,20;0,18;0,19;0,18;-7,58%;0,18;0,18;421;2090035;400044,26;
UTR1L;EUR;VSE;BALTIC MAIN LIST;0,00;0,41;0,00;0,00;0,41;0,41;-%;0,00;0,41;0;0;0,00;
VBL1L;EUR;VSE;BALTIC MAIN LIST;0,00;3,72;0,00;0,00;3,72;3,72;-%;0,00;3,59;0;0;0,00;
VLP1L;EUR;VSE;BALTIC MAIN LIST;0,25;0,25;0,25;0,25;0,25;0,25;-%;0,23;0,25;1;140;34,46;
VNF1R;EUR;RSE;BALTIC MAIN LIST;0,00;1,44;0,00;0,00;1,44;1,44;-%;0,00;0,00;0;0;0,00;
VSN1T;EUR;TSE;BALTIC MAIN LIST;0,92;0,92;0,92;0,92;0,94;0,92;-2,13%;0,92;0,95;1;475;437,00;
ALT1L;EUR;VSE;BALTIC SECONDARY LIST;0,00;0,29;0,00;0,00;0,29;0,29;-%;0,26;0,29;0;0;0,00;
ANK1L;EUR;VSE;BALTIC SECONDARY LIST;0,00;0,14;0,00;0,00;0,14;0,14;-%;0,00;0,14;0;0;0,00;
BAL1R;EUR;RSE;BALTIC SECONDARY LIST;0,00;1,44;0,00;0,00;1,44;1,44;-%;0,00;0,00;0;0;0,00;
BLZ1R;EUR;RSE;BALTIC SECONDARY LIST;0,00;1,00;0,00;0,00;1,00;1,00;-%;0,00;0,00;0;0;0,00;
BRV1R;EUR;RSE;BALTIC SECONDARY LIST;0,00;1,85;0,00;0,00;1,85;1,85;-%;0,00;0,00;0;0;0,00;
DKR1L;EUR;VSE;BALTIC SECONDARY LIST;1,05;1,05;1,05;1,05;1,05;1,05;-%;1,05;1,05;9;6085;6366,27;
DPK1R;EUR;RSE;BALTIC SECONDARY LIST;0,00;0,28;0,00;0,00;0,28;0,28;-%;0,00;0,00;0;0;0,00;
FRM1R;EUR;RSE;BALTIC SECONDARY LIST;0,00;1,88;0,00;0,00;1,88;1,88;-%;0,00;0,00;0;0;0,00;
GRG1L;EUR;VSE;BALTIC SECONDARY LIST;0,13;0,14;0,14;0,13;0,12;0,13;4,65%;0,12;0,14;5;4480;602,70;
GRZ1R;EUR;RSE;BALTIC SECONDARY LIST;0,00;1,39;0,00;0,00;1,39;1,39;-%;0,00;0,00;0;0;0,00;
GUB1L;EUR;VSE;BALTIC SECONDARY LIST;0,12;0,12;0,12;0,12;0,14;0,12;-14,89%;0,12;0,16;1;1;0,12;
GZE1R;EUR;RSE;BALTIC SECONDARY LIST;0,00;7,94;0,00;0,00;7,94;7,94;-%;0,00;0,00;0;0;0,00;
KA11R;EUR;RSE;BALTIC SECONDARY LIST;0,00;0,57;0,00;0,00;0,57;0,57;-%;0,00;0,00;0;0;0,00;
KBL1L;EUR;VSE;BALTIC SECONDARY LIST;0,00;0,43;0,00;0,00;0,43;0,43;-%;0,00;0,42;0;0;0,00;
KCM1R;EUR;RSE;BALTIC SECONDARY LIST;0,00;2,28;0,00;0,00;2,28;2,28;-%;0,00;0,00;0;0;0,00;
KJK1L;EUR;VSE;BALTIC SECONDARY LIST;3,04;3,04;3,04;3,04;3,39;3,04;-10,26%;3,04;3,22;2;807;2454,10;
KNF1L;EUR;VSE;BALTIC SECONDARY LIST;0,22;0,22;0,22;0,21;0,23;0,22;-5,06%;0,21;0,22;12;20576;4473,46;
KNR1L;EUR;VSE;BALTIC SECONDARY LIST;0,00;0,58;0,00;0,00;0,58;0,58;-%;0,00;0,67;0;0;0,00;
KTK1L;EUR;VSE;BALTIC SECONDARY LIST;0,00;0,12;0,00;0,00;0,12;0,12;-%;0,00;0,12;0;0;0,00;
LAP1R;EUR;RSE;BALTIC SECONDARY LIST;0,00;2,48;0,00;0,00;2,48;2,48;-%;0,00;0,00;0;0;0,00;
LEL1L;EUR;VSE;BALTIC SECONDARY LIST;1,30;1,30;1,30;1,30;1,30;1,30;-%;1,30;1,45;1;544;708,99;
LEN1L;EUR;VSE;BALTIC SECONDARY LIST;0,78;0,81;0,81;0,78;0,81;0,78;-3,57%;0,78;0,81;7;191380;149707,46;
LFO1L;EUR;VSE;BALTIC SECONDARY LIST;6,89;7,65;7,65;6,50;7,65;6,50;-15,00%;0,00;6,50;151;11934;82192,04;
LJL1L;EUR;VSE;BALTIC SECONDARY LIST;0,06;0,06;0,08;0,06;0,07;0,06;-8,33%;0,06;0,08;4;22150;1412,33;
LJM1R;EUR;RSE;BALTIC SECONDARY LIST;0,00;3,39;0,00;0,00;3,39;3,39;-%;0,00;0,00;0;0;0,00;
LKB1R;EUR;RSE;BALTIC SECONDARY LIST;0,00;1,28;0,00;0,00;1,28;1,28;-%;0,00;0,00;0;0;0,00;
LKB2R;EUR;RSE;BALTIC SECONDARY LIST;0,00;9,32;0,00;0,00;9,32;9,32;-%;0,00;0,00;0;0;0,00;
LLK1L;EUR;VSE;BALTIC SECONDARY LIST;0,00;0,23;0,00;0,00;0,23;0,23;-%;0,21;0,22;0;0;0,00;
LME1R;EUR;RSE;BALTIC SECONDARY LIST;0,00;1,71;0,00;0,00;1,71;1,71;-%;0,00;0,00;0;0;0,00;
LNS1L;EUR;VSE;BALTIC SECONDARY LIST;0,03;0,03;0,03;0,03;0,04;0,03;-7,69%;0,03;0,04;1;100;3,48;
LOK1R;EUR;RSE;BALTIC SECONDARY LIST;0,00;0,34;0,00;0,00;0,34;0,34;-%;0,00;0,00;0;0;0,00;
LTT1R;EUR;RSE;BALTIC SECONDARY LIST;0,00;4,80;0,00;0,00;4,80;4,80;-%;0,00;0,00;0;0;0,00;
NDL1L;EUR;VSE;BALTIC SECONDARY LIST;34,75;34,75;34,75;34,75;34,78;34,75;-0,08%;34,75;39,10;2;32;1112,14;
NKA1R;EUR;RSE;BALTIC SECONDARY LIST;0,00;0,64;0,00;0,00;0,64;0,64;-%;0,00;0,00;0;0;0,00;
NLB1R;EUR;RSE;BALTIC SECONDARY LIST;0,00;4,55;0,00;0,00;4,55;4,55;-%;0,00;0,00;0;0;0,00;
OLK1R;EUR;RSE;BALTIC SECONDARY LIST;0,00;0,17;0,00;0,00;0,17;0,17;-%;0,00;0,00;0;0;0,00;
PRM1L;EUR;VSE;BALTIC SECONDARY LIST;0,00;0,81;0,00;0,00;0,81;0,81;-%;0,69;0,94;0;0;0,00;
RAR1R;EUR;RSE;BALTIC SECONDARY LIST;0,00;0,21;0,00;0,00;0,21;0,21;-%;0,00;0,00;0;0;0,00;
RER1R;EUR;RSE;BALTIC SECONDARY LIST;0,00;2,31;0,00;0,00;2,31;2,31;-%;0,00;0,00;0;0;0,00;
RJR1R;EUR;RSE;BALTIC SECONDARY LIST;0,00;0,11;0,00;0,00;0,11;0,11;-%;0,00;0,00;0;0;0,00;
RKB1R;EUR;RSE;BALTIC SECONDARY LIST;0,00;0,50;0,00;0,00;0,50;0,50;-%;0,00;0,00;0;0;0,00;
RRR1R;EUR;RSE;BALTIC SECONDARY LIST;0,00;0,65;0,00;0,00;0,65;0,65;-%;0,00;0,00;0;0;0,00;
SCM1R;EUR;RSE;BALTIC SECONDARY LIST;0,00;1,92;0,00;0,00;1,92;1,92;-%;0,00;0,00;0;0;0,00;
SMA1R;EUR;RSE;BALTIC SECONDARY LIST;0,00;6,39;0,00;0,00;6,39;6,39;-%;0,00;0,00;0;0;0,00;
SRS1L;EUR;VSE;BALTIC SECONDARY LIST;0,12;0,12;0,12;0,11;0,12;0,11;-5,00%;0,11;0,11;69;208333;23970,16;
SRS2L;EUR;VSE;BALTIC SECONDARY LIST;0,00;1,85;0,00;0,00;1,85;1,85;-%;0,00;1,84;0;0;0,00;
STU1L;EUR;VSE;BALTIC SECONDARY LIST;0,00;1,15;0,00;0,00;1,15;1,15;-%;1,16;1,30;0;0;0,00;
TKB1R;EUR;RSE;BALTIC SECONDARY LIST;0,00;0,54;0,00;0,00;0,54;0,54;-%;0,00;0,00;0;0;0,00;
TMA1R;EUR;RSE;BALTIC SECONDARY LIST;0,00;0,73;0,00;0,00;0,73;0,73;-%;0,00;0,00;0;0;0,00;
VDG1L;EUR;VSE;BALTIC SECONDARY LIST;0,00;0,30;0,00;0,00;0,30;0,30;-%;0,30;0,35;0;0;0,00;
VEF1R;EUR;RSE;BALTIC SECONDARY LIST;0,00;1,64;0,00;0,00;1,64;1,64;-%;0,00;0,00;0;0;0,00;
VSS1R;EUR;RSE;BALTIC SECONDARY LIST;0,00;0,48;0,00;0,00;0,48;0,48;-%;0,00;0,00;0;0;0,00;
VST1L;EUR;VSE;BALTIC SECONDARY LIST;0,00;139,02;0,00;0,00;139,02;139,02;-%;124,54;145,10;0;0;0,00;
ZMP1L;EUR;VSE;BALTIC SECONDARY LIST;0,18;0,19;0,20;0,18;0,19;0,20;6,15%;0,17;0,20;6;4080;751,62;
