BALTIC EQUITY LIST
DATE: 2008-11-18
Name;Currency;MarketPlace;ListName;Average Price;Open Price;High Price;Low Price;Last close Price;Last Price;Price Change(%);Best bid;Best ask;Deals;No of shares;Turnover
APG1L;EUR;VSE;BALTIC MAIN LIST;0,58;0,67;0,67;0,56;0,65;0,58;-11,11%;0,57;0,58;67;85002;48350,89;
ARC1T;EUR;TSE;BALTIC MAIN LIST;0,23;0,24;0,24;0,23;0,25;0,23;-8,00%;0,22;0,23;18;40700;9546,50;
AVG1L;EUR;VSE;BALTIC MAIN LIST;0,68;0,65;0,71;0,59;0,69;0,69;-%;0,64;0,69;24;14286;9697,61;
BLT1T;EUR;TSE;BALTIC MAIN LIST;1,08;1,15;1,15;1,04;1,17;1,06;-9,40%;1,04;1,06;49;30779;33271,70;
CTS1L;EUR;VSE;BALTIC MAIN LIST;0,93;0,93;0,96;0,87;0,93;0,87;-6,52%;0,88;1,01;6;1305;1216,51;
EEG1T;EUR;TSE;BALTIC MAIN LIST;1,00;1,05;1,10;0,92;1,05;1,09;3,81%;0,92;1,09;4;346;344,52;
EEH1T;EUR;TSE;BALTIC MAIN LIST;1,27;1,26;1,33;1,20;1,27;1,20;-5,51%;1,10;1,20;28;33175;42499,75;
ETLAT;EUR;TSE;BALTIC MAIN LIST;4,60;4,73;4,73;4,55;4,75;4,60;-3,16%;4,56;4,60;23;19010;87519,32;
GRD1R;EUR;RSE;BALTIC MAIN LIST;0,00;5,05;0,00;0,00;5,05;5,05;-%;0,00;0,00;0;0;0,00;
HAE1T;EUR;TSE;BALTIC MAIN LIST;1,59;1,59;1,73;1,59;1,62;1,73;6,79%;1,39;1,69;4;2990;4768,10;
IVL1L;EUR;VSE;BALTIC MAIN LIST;0,49;0,56;0,56;0,48;0,56;0,48;-14,87%;0,00;0,48;44;19443;9627,08;
JRV1T;EUR;TSE;BALTIC MAIN LIST;0,19;0,19;0,19;0,18;0,19;0,18;-5,26%;0,17;0,18;13;48586;9025,34;
KLV1T;EUR;TSE;BALTIC MAIN LIST;0,97;0,97;0,97;0,97;1,15;0,97;-15,65%;0,97;1,11;1;10;9,70;
LDJ1L;EUR;VSE;BALTIC MAIN LIST;0,38;0,41;0,41;0,37;0,38;0,37;-1,54%;0,36;0,37;8;4649;1756,98;
LSC1R;EUR;RSE;BALTIC MAIN LIST;0,00;1,17;0,00;0,00;1,17;1,17;-%;0,00;0,00;0;0;0,00;
MRK1T;EUR;TSE;BALTIC MAIN LIST;2,98;3,20;3,20;2,95;3,17;2,95;-6,94%;2,95;3,00;5;5580;16228,50;
NRM1T;EUR;TSE;BALTIC MAIN LIST;0,00;3,35;0,00;0,00;3,35;3,35;-%;3,05;3,34;0;0;0,00;
OEG1T;EUR;TSE;BALTIC MAIN LIST;0,63;0,68;0,68;0,60;0,68;0,61;-10,29%;0,60;0,61;78;95560;59935,22;
