BALTIC EQUITY LIST
DATE: 2008-11-24
Name;Currency;MarketPlace;ListName;Average Price;Open Price;High Price;Low Price;Last close Price;Last Price;Price Change(%);Best bid;Best ask;Deals;No of shares;Turnover
APG1L;EUR;VSE;BALTIC MAIN LIST;0,66;0,64;0,70;0,62;0,64;0,65;1,35%;0,63;0,65;18;5129;3382,79;
ARC1T;EUR;TSE;BALTIC MAIN LIST;0,18;0,20;0,20;0,18;0,18;0,18;-%;0,17;0,18;16;25002;4590,36;
AVG1L;EUR;VSE;BALTIC MAIN LIST;0,84;0,77;0,86;0,77;0,75;0,85;14,34%;0,80;0,84;15;5852;4929,44;
BLT1T;EUR;TSE;BALTIC MAIN LIST;0,98;1,00;1,01;0,95;0,97;0,95;-2,06%;0,96;0,97;12;2675;2632,75;
CTS1L;EUR;VSE;BALTIC MAIN LIST;0,87;0,87;0,87;0,86;0,87;0,86;-1,33%;0,83;0,86;7;2863;2477,99;
EEG1T;EUR;TSE;BALTIC MAIN LIST;0,80;0,87;0,87;0,76;0,88;0,76;-13,64%;0,76;0,83;23;18331;14647,37;
EEH1T;EUR;TSE;BALTIC MAIN LIST;1,04;1,06;1,08;1,02;1,06;1,02;-3,77%;1,02;1,07;25;184782;193075,64;
ETLAT;EUR;TSE;BALTIC MAIN LIST;4,01;4,18;4,18;3,81;4,06;4,00;-1,48%;3,99;4,00;63;61686;245801,94;
GRD1R;EUR;RSE;BALTIC MAIN LIST;4,43;4,45;4,47;4,41;4,45;4,47;0,32%;4,35;4,45;5;1050;4650,02;
HAE1T;EUR;TSE;BALTIC MAIN LIST;0,00;1,58;0,00;0,00;1,58;1,58;-%;1,41;1,70;0;0;0,00;
IVL1L;EUR;VSE;BALTIC MAIN LIST;0,43;0,47;0,48;0,42;0,49;0,42;-14,71%;0,00;0,42;44;37176;16168,19;
JRV1T;EUR;TSE;BALTIC MAIN LIST;0,19;0,19;0,19;0,19;0,18;0,19;5,56%;0,18;0,20;4;6100;1159,00;
KLV1T;EUR;TSE;BALTIC MAIN LIST;0,00;0,95;0,00;0,00;0,95;0,95;-%;0,95;1,09;0;0;0,00;
LDJ1L;EUR;VSE;BALTIC MAIN LIST;0,32;0,32;0,32;0,32;0,32;0,32;-%;0,32;0,35;10;163200;51992,59;
LSC1R;EUR;RSE;BALTIC MAIN LIST;1,10;1,14;1,14;1,10;1,15;1,10;-4,94%;1,10;1,14;10;2675;2950,40;
MRK1T;EUR;TSE;BALTIC MAIN LIST;2,98;2,99;3,40;2,90;2,99;3,00;0,33%;2,90;3,00;17;5850;17445,00;
NRM1T;EUR;TSE;BALTIC MAIN LIST;3,30;3,30;3,30;3,30;3,29;3,30;0,30%;3,10;3,30;1;100;330,00;
OEG1T;EUR;TSE;BALTIC MAIN LIST;0,53;0,55;0,55;0,52;0,52;0,53;1,92%;0,53;0,54;31;28267;15062,49;
OLF1R;EUR;RSE;BALTIC MAIN LIST;0,80;0,81;0,81;0,75;0,83;0,75;-8,62%;0,75;0,77;4;590;474,10;
PTR1L;EUR;VSE;BALTIC MAIN LIST;0,33;0,31;0,36;0,31;0,33;0,34;2,61%;0,34;0,34;10;10225;3412,22;
PZV1L;EUR;VSE;BALTIC MAIN LIST;0,00;1,08;0,00;0,00;1,08;1,08;-%;0,00;0,98;0;0;0,00;
RST1L;EUR;VSE;BALTIC MAIN LIST;0,67;0,72;0,72;0,61;0,68;0,62;-9,36%;0,62;0,63;41;32760;21867,65;
RSU1L;EUR;VSE;BALTIC MAIN LIST;0,48;0,48;0,52;0,48;0,46;0,52;12,50%;0,46;0,52;2;130;62,56;
SAB1L;EUR;VSE;BALTIC MAIN LIST;0,26;0,25;0,26;0,25;0,25;0,25;2,35%;0,25;0,26;20;21528;5511,69;
SAF1R;EUR;RSE;BALTIC MAIN LIST;0,53;0,53;0,53;0,53;0,53;0,53;-%;0,51;0,53;7;5900;3106,13;
SAN1L;EUR;VSE;BALTIC MAIN LIST;2,62;2,74;2,74;2,61;2,65;2,61;-1,64%;2,61;2,69;15;2170;5687,04;
SFGAT;EUR;TSE;BALTIC MAIN LIST;0,00;0,46;0,00;0,00;0,46;0,46;-%;0,45;0,52;0;0;0,00;
SMN1T;EUR;TSE;BALTIC MAIN LIST;0,00;3,11;0,00;0,00;3,11;3,11;-%;3,10;0,00;0;0;0,00;
SNG1L;EUR;VSE;BALTIC MAIN LIST;0,00;0,38;0,00;0,00;0,38;0,38;-%;0,00;0,39;0;0;0,00;
TAL1T;EUR;TSE;BALTIC MAIN LIST;0,33;0,34;0,34;0,32;0,33;0,32;-3,03%;0,32;0,33;29;106660;35299,80;
TEO1L;EUR;VSE;BALTIC MAIN LIST;0,34;0,33;0,35;0,33;0,33;0,34;4,39%;0,34;0,35;195;648512;221447,41;
TKM1T;EUR;TSE;BALTIC MAIN LIST;1,58;1,60;1,63;1,57;1,59;1,57;-1,26%;1,57;1,64;19;27875;44081,50;
TPD1T;EUR;TSE;BALTIC MAIN LIST;0,00;0,32;0,00;0,00;0,32;0,32;-%;0,29;0,31;0;0;0,00;
TVEAT;EUR;TSE;BALTIC MAIN LIST;9,15;9,15;9,15;9,15;9,00;9,15;1,67%;9,05;9,20;1;50;457,50;
UKB1L;EUR;VSE;BALTIC MAIN LIST;0,19;0,19;0,19;0,18;0,18;0,19;8,06%;0,19;0,20;261;1191207;224755,24;
UTR1L;EUR;VSE;BALTIC MAIN LIST;0,00;0,41;0,00;0,00;0,41;0,41;-%;0,00;0,43;0;0;0,00;
VBL1L;EUR;VSE;BALTIC MAIN LIST;0,00;3,72;0,00;0,00;3,72;3,72;-%;0,00;3,48;0;0;0,00;
VLP1L;EUR;VSE;BALTIC MAIN LIST;0,23;0,23;0,23;0,23;0,23;0,23;-1,25%;0,23;0,23;1;3000;686,40;
VNF1R;EUR;RSE;BALTIC MAIN LIST;1,49;1,45;1,51;1,44;1,47;1,51;2,91%;1,47;1,49;19;4990;7418,14;
VSN1T;EUR;TSE;BALTIC MAIN LIST;0,89;0,88;0,98;0,88;0,99;0,98;-1,01%;0,00;0,98;3;535;474,30;
ALT1L;EUR;VSE;BALTIC SECONDARY LIST;0,27;0,28;0,28;0,26;0,26;0,27;3,33%;0,23;0,24;4;1480;395,19;
ANK1L;EUR;VSE;BALTIC SECONDARY LIST;0,00;0,14;0,00;0,00;0,14;0,14;-%;0,12;0,14;0;0;0,00;
BAL1R;EUR;RSE;BALTIC SECONDARY LIST;1,44;1,44;1,44;1,44;1,44;1,44;-%;1,44;1,47;1;45;64,67;
BLZ1R;EUR;RSE;BALTIC SECONDARY LIST;0,00;1,20;0,00;0,00;1,20;1,20;-%;1,28;0,00;0;0;0,00;
BRV1R;EUR;RSE;BALTIC SECONDARY LIST;0,00;1,85;0,00;0,00;1,85;1,85;-%;0,00;0,00;0;0;0,00;
DKR1L;EUR;VSE;BALTIC SECONDARY LIST;1,04;1,04;1,05;1,04;1,04;1,04;-%;1,03;1,04;4;2130;2224,72;
DPK1R;EUR;RSE;BALTIC SECONDARY LIST;0,25;0,26;0,26;0,24;0,27;0,24;-10,53%;0,24;0,26;5;3500;885,03;
FRM1R;EUR;RSE;BALTIC SECONDARY LIST;0,00;1,88;0,00;0,00;1,88;1,88;-%;1,49;1,71;0;0;0,00;
GRG1L;EUR;VSE;BALTIC SECONDARY LIST;0,12;0,12;0,12;0,12;0,12;0,12;-2,33%;0,12;0,12;4;3430;417,89;
GRZ1R;EUR;RSE;BALTIC SECONDARY LIST;1,15;1,15;1,15;1,15;1,35;1,15;-14,74%;0,00;1,17;2;100;115,25;
GUB1L;EUR;VSE;BALTIC SECONDARY LIST;0,11;0,11;0,11;0,11;0,11;0,11;2,63%;0,11;0,12;2;2148;242,62;
GZE1R;EUR;RSE;BALTIC SECONDARY LIST;7,81;7,80;7,83;7,80;7,83;7,83;-%;7,53;7,83;3;100;781,07;
KA11R;EUR;RSE;BALTIC SECONDARY LIST;0,00;0,57;0,00;0,00;0,57;0,57;-%;0,51;0,58;0;0;0,00;
KBL1L;EUR;VSE;BALTIC SECONDARY LIST;0,00;0,43;0,00;0,00;0,43;0,43;-%;0,00;0,38;0;0;0,00;
KCM1R;EUR;RSE;BALTIC SECONDARY LIST;0,00;2,13;0,00;0,00;2,13;2,13;-%;2,13;2,26;0;0;0,00;
KJK1L;EUR;VSE;BALTIC SECONDARY LIST;2,90;2,90;2,90;2,90;3,04;2,90;-4,58%;2,49;2,90;1;20;57,92;
KNF1L;EUR;VSE;BALTIC SECONDARY LIST;0,19;0,19;0,19;0,19;0,19;0,19;-4,48%;0,19;0,19;24;27381;5198,30;
KNR1L;EUR;VSE;BALTIC SECONDARY LIST;0,00;0,58;0,00;0,00;0,58;0,58;-%;0,00;0,67;0;0;0,00;
KTK1L;EUR;VSE;BALTIC SECONDARY LIST;0,00;0,12;0,00;0,00;0,12;0,12;-%;0,00;0,10;0;0;0,00;
LAP1R;EUR;RSE;BALTIC SECONDARY LIST;2,40;2,40;2,40;2,40;2,48;2,40;-2,87%;0,00;2,40;1;25;60,12;
LEL1L;EUR;VSE;BALTIC SECONDARY LIST;1,25;1,25;1,25;1,25;1,30;1,25;-4,44%;1,25;1,30;2;1113;1386,09;
LEN1L;EUR;VSE;BALTIC SECONDARY LIST;0,79;0,81;0,81;0,75;0,81;0,80;-1,43%;0,78;0,80;3;550;436,60;
LFO1L;EUR;VSE;BALTIC SECONDARY LIST;4,81;4,64;4,89;4,64;4,58;4,70;2,66%;4,70;4,78;40;3726;17911,34;
LJL1L;EUR;VSE;BALTIC SECONDARY LIST;0,04;0,05;0,05;0,04;0,05;0,04;-6,25%;0,04;0,05;24;228466;10120,74;
LJM1R;EUR;RSE;BALTIC SECONDARY LIST;0,00;3,39;0,00;0,00;3,39;3,39;-%;0,00;0,00;0;0;0,00;
LKB1R;EUR;RSE;BALTIC SECONDARY LIST;1,19;1,14;1,31;1,12;1,14;1,12;-1,25%;1,12;1,15;29;3795;4500,23;
LKB2R;EUR;RSE;BALTIC SECONDARY LIST;0,00;9,32;0,00;0,00;9,32;9,32;-%;0,00;9,25;0;0;0,00;
LLK1L;EUR;VSE;BALTIC SECONDARY LIST;0,00;0,23;0,00;0,00;0,23;0,23;-%;0,19;0,23;0;0;0,00;
LME1R;EUR;RSE;BALTIC SECONDARY LIST;1,49;1,47;1,76;1,42;1,64;1,64;-%;1,64;1,66;19;1030;1538,20;
LNS1L;EUR;VSE;BALTIC SECONDARY LIST;0,00;0,04;0,00;0,00;0,04;0,04;-%;0,00;0,03;0;0;0,00;
LOK1R;EUR;RSE;BALTIC SECONDARY LIST;0,00;0,34;0,00;0,00;0,34;0,34;-%;0,30;0,34;0;0;0,00;
LTT1R;EUR;RSE;BALTIC SECONDARY LIST;0,00;4,07;0,00;0,00;4,07;4,07;-%;4,07;4,17;0;0;0,00;
NDL1L;EUR;VSE;BALTIC SECONDARY LIST;0,00;31,86;0,00;0,00;31,86;31,86;-%;31,86;36,64;0;0;0,00;
NKA1R;EUR;RSE;BALTIC SECONDARY LIST;0,00;0,64;0,00;0,00;0,64;0,64;-%;0,55;0,71;0;0;0,00;
NLB1R;EUR;RSE;BALTIC SECONDARY LIST;0,00;4,55;0,00;0,00;4,55;4,55;-%;0,00;4,55;0;0;0,00;
OLK1R;EUR;RSE;BALTIC SECONDARY LIST;0,00;0,17;0,00;0,00;0,17;0,17;-%;0,16;0,18;0;0;0,00;
PRM1L;EUR;VSE;BALTIC SECONDARY LIST;0,00;0,81;0,00;0,00;0,81;0,81;-%;0,00;0,87;0;0;0,00;
RAR1R;EUR;RSE;BALTIC SECONDARY LIST;0,00;0,21;0,00;0,00;0,21;0,21;-%;0,18;0,23;0;0;0,00;
RER1R;EUR;RSE;BALTIC SECONDARY LIST;0,00;1,96;0,00;0,00;1,96;1,96;-%;1,68;1,98;0;0;0,00;
RJR1R;EUR;RSE;BALTIC SECONDARY LIST;0,10;0,10;0,10;0,10;0,11;0,10;-12,50%;0,00;0,10;1;200;19,92;
RKB1R;EUR;RSE;BALTIC SECONDARY LIST;0,47;0,47;0,47;0,47;0,48;0,47;-2,94%;0,47;0,48;5;598;280,79;
RRR1R;EUR;RSE;BALTIC SECONDARY LIST;0,00;0,65;0,00;0,00;0,65;0,65;-%;0,00;0,68;0;0;0,00;
SCM1R;EUR;RSE;BALTIC SECONDARY LIST;0,00;1,92;0,00;0,00;1,92;1,92;-%;0,00;0,00;0;0;0,00;
SMA1R;EUR;RSE;BALTIC SECONDARY LIST;7,11;7,10;7,11;7,10;6,39;7,11;11,36%;0,00;7,11;2;500;3556,89;
SRS1L;EUR;VSE;BALTIC SECONDARY LIST;0,09;0,09;0,10;0,09;0,09;0,09;3,23%;0,09;0,09;108;680904;63326,36;
