BALTIC EQUITY LIST
DATE: 2008-11-25
Name;Currency;MarketPlace;ListName;Average Price;Open Price;High Price;Low Price;Last close Price;Last Price;Price Change(%);Best bid;Best ask;Deals;No of shares;Turnover
SFGAT;EUR;TSE;BALTIC MAIN LIST;0,47;0,46;0,51;0,46;0,46;0,47;2,17%;0,47;0,51;7;203485;97644,10;
SMN1T;EUR;TSE;BALTIC MAIN LIST;0,00;3,11;0,00;0,00;3,11;3,11;-%;3,10;0,00;0;0;0,00;
SNG1L;EUR;VSE;BALTIC MAIN LIST;0,38;0,38;0,38;0,38;0,38;0,38;-%;0,00;0,38;1;10;3,77;
TAL1T;EUR;TSE;BALTIC MAIN LIST;0,33;0,34;0,35;0,33;0,32;0,34;6,25%;0,33;0,34;59;159385;53133,95;
TEO1L;EUR;VSE;BALTIC MAIN LIST;0,36;0,36;0,36;0,35;0,34;0,36;4,20%;0,36;0,36;217;525727;188190,47;
TKM1T;EUR;TSE;BALTIC MAIN LIST;1,70;1,56;1,74;1,56;1,57;1,70;8,28%;1,69;1,70;25;15090;25657,60;
TPD1T;EUR;TSE;BALTIC MAIN LIST;0,30;0,30;0,30;0,30;0,32;0,30;-6,25%;0,29;0,34;1;800;240,00;
TVEAT;EUR;TSE;BALTIC MAIN LIST;9,48;9,50;9,50;9,00;9,15;9,00;-1,64%;9,00;9,49;7;2310;21903,06;
UKB1L;EUR;VSE;BALTIC MAIN LIST;0,21;0,21;0,22;0,20;0,19;0,21;5,97%;0,20;0,21;561;2374239;503897,04;
UTR1L;EUR;VSE;BALTIC MAIN LIST;0,00;0,41;0,00;0,00;0,41;0,41;-%;0,00;0,47;0;0;0,00;
VBL1L;EUR;VSE;BALTIC MAIN LIST;0,00;3,72;0,00;0,00;3,72;3,72;-%;0,00;3,48;0;0;0,00;
VLP1L;EUR;VSE;BALTIC MAIN LIST;0,22;0,23;0,23;0,21;0,23;0,21;-6,33%;0,21;0,21;10;13927;3091,05;
VNF1R;EUR;RSE;BALTIC MAIN LIST;1,50;1,49;1,51;1,45;1,51;1,49;-0,94%;1,48;1,51;11;2239;3348,06;
VSN1T;EUR;TSE;BALTIC MAIN LIST;0,99;0,99;0,99;0,99;0,98;0,99;1,02%;0,00;0,99;3;1050;1039,50;
ALT1L;EUR;VSE;BALTIC SECONDARY LIST;0,28;0,28;0,28;0,28;0,27;0,28;2,15%;0,23;0,28;3;1100;302,65;
ANK1L;EUR;VSE;BALTIC SECONDARY LIST;0,00;0,14;0,00;0,00;0,14;0,14;-%;0,12;0,13;0;0;0,00;
BAL1R;EUR;RSE;BALTIC SECONDARY LIST;1,49;1,49;1,49;1,45;1,44;1,45;0,99%;1,45;1,51;7;1710;2547,65;
BLZ1R;EUR;RSE;BALTIC SECONDARY LIST;0,00;1,20;0,00;0,00;1,20;1,20;-%;1,25;0,00;0;0;0,00;
BRV1R;EUR;RSE;BALTIC SECONDARY LIST;0,00;1,85;0,00;0,00;1,85;1,85;-%;0,00;0,00;0;0;0,00;
DKR1L;EUR;VSE;BALTIC SECONDARY LIST;1,03;1,01;1,04;1,01;1,04;1,04;-%;1,04;1,04;7;3226;3311,25;
DPK1R;EUR;RSE;BALTIC SECONDARY LIST;0,00;0,24;0,00;0,00;0,24;0,24;-%;0,24;0,26;0;0;0,00;
FRM1R;EUR;RSE;BALTIC SECONDARY LIST;1,59;1,57;1,64;1,57;1,88;1,64;-12,88%;1,62;1,64;7;165;261,81;
GRG1L;EUR;VSE;BALTIC SECONDARY LIST;0,12;0,12;0,12;0,12;0,12;0,12;-%;0,12;0,12;10;14423;1735,38;
GRZ1R;EUR;RSE;BALTIC SECONDARY LIST;0,00;1,15;0,00;0,00;1,15;1,15;-%;1,00;1,17;0;0;0,00;
GUB1L;EUR;VSE;BALTIC SECONDARY LIST;0,00;0,11;0,00;0,00;0,11;0,11;-%;0,00;0,12;0;0;0,00;
GZE1R;EUR;RSE;BALTIC SECONDARY LIST;7,73;7,56;7,81;7,56;7,83;7,81;-0,18%;7,58;7,80;3;6;46,36;
KA11R;EUR;RSE;BALTIC SECONDARY LIST;0,00;0,57;0,00;0,00;0,57;0,57;-%;0,54;0,58;0;0;0,00;
KBL1L;EUR;VSE;BALTIC SECONDARY LIST;0,00;0,43;0,00;0,00;0,43;0,43;-%;0,00;0,38;0;0;0,00;
KCM1R;EUR;RSE;BALTIC SECONDARY LIST;2,13;2,13;2,13;2,13;2,13;2,13;-%;0,00;2,13;1;200;426,86;
KJK1L;EUR;VSE;BALTIC SECONDARY LIST;2,61;2,82;2,82;2,46;2,90;2,61;-10,00%;2,61;2,90;7;16695;43517,00;
KNF1L;EUR;VSE;BALTIC SECONDARY LIST;0,19;0,19;0,20;0,19;0,19;0,19;3,13%;0,19;0,19;26;84635;16317,70;
KNR1L;EUR;VSE;BALTIC SECONDARY LIST;0,00;0,58;0,00;0,00;0,58;0,58;-%;0,56;0,67;0;0;0,00;
KTK1L;EUR;VSE;BALTIC SECONDARY LIST;0,00;0,12;0,00;0,00;0,12;0,12;-%;0,00;0,11;0;0;0,00;
LAP1R;EUR;RSE;BALTIC SECONDARY LIST;0,00;2,40;0,00;0,00;2,40;2,40;-%;0,00;2,39;0;0;0,00;
LEL1L;EUR;VSE;BALTIC SECONDARY LIST;1,29;1,25;1,30;1,25;1,25;1,26;1,16%;1,26;1,36;4;4574;5917,23;
LEN1L;EUR;VSE;BALTIC SECONDARY LIST;0,78;0,81;0,81;0,78;0,80;0,81;1,45%;0,78;0,81;4;12337;9587,32;
LFO1L;EUR;VSE;BALTIC SECONDARY LIST;4,68;4,85;5,00;4,34;4,70;4,60;-2,03%;4,58;4,60;84;9549;44710,20;
LJL1L;EUR;VSE;BALTIC SECONDARY LIST;0,05;0,05;0,05;0,05;0,04;0,05;6,67%;0,04;0,05;81;2281954;107910,37;
LJM1R;EUR;RSE;BALTIC SECONDARY LIST;0,00;3,39;0,00;0,00;3,39;3,39;-%;0,00;3,13;0;0;0,00;
LKB1R;EUR;RSE;BALTIC SECONDARY LIST;1,15;1,15;1,17;1,12;1,12;1,14;1,27%;1,14;1,15;14;1959;2255,76;
LKB2R;EUR;RSE;BALTIC SECONDARY LIST;0,00;9,32;0,00;0,00;9,32;9,32;-%;0,00;9,25;0;0;0,00;
LLK1L;EUR;VSE;BALTIC SECONDARY LIST;0,21;0,20;0,21;0,20;0,23;0,21;-10,00%;0,20;0,21;3;2100;436,75;
LME1R;EUR;RSE;BALTIC SECONDARY LIST;1,64;1,64;1,64;1,64;1,64;1,64;-%;1,52;1,64;4;3106;5082,36;
LNS1L;EUR;VSE;BALTIC SECONDARY LIST;0,04;0,04;0,04;0,03;0,04;0,03;-15,38%;0,00;0,03;9;191270;6701,72;
LOK1R;EUR;RSE;BALTIC SECONDARY LIST;0,00;0,34;0,00;0,00;0,34;0,34;-%;0,31;0,34;0;0;0,00;
LTT1R;EUR;RSE;BALTIC SECONDARY LIST;4,57;4,27;4,67;4,27;4,07;4,67;14,69%;4,67;0,00;4;80;365,79;
NDL1L;EUR;VSE;BALTIC SECONDARY LIST;34,75;34,75;34,75;34,75;31,86;34,75;9,09%;31,86;34,75;1;4;139,02;
NKA1R;EUR;RSE;BALTIC SECONDARY LIST;0,00;0,64;0,00;0,00;0,64;0,64;-%;0,55;0,00;0;0;0,00;
NLB1R;EUR;RSE;BALTIC SECONDARY LIST;0,00;4,55;0,00;0,00;4,55;4,55;-%;3,87;4,55;0;0;0,00;
OLK1R;EUR;RSE;BALTIC SECONDARY LIST;0,17;0,17;0,17;0,17;0,17;0,17;-%;0,17;0,18;3;2000;341,49;
PRM1L;EUR;VSE;BALTIC SECONDARY LIST;0,00;0,81;0,00;0,00;0,81;0,81;-%;0,00;0,80;1;145650;118112,84;
RAR1R;EUR;RSE;BALTIC SECONDARY LIST;0,00;0,21;0,00;0,00;0,21;0,21;-%;0,18;0,23;0;0;0,00;
RER1R;EUR;RSE;BALTIC SECONDARY LIST;0,00;1,96;0,00;0,00;1,96;1,96;-%;1,68;1,98;0;0;0,00;
RJR1R;EUR;RSE;BALTIC SECONDARY LIST;0,10;0,10;0,10;0,10;0,10;0,10;-%;0,09;0,11;1;700;69,72;
RKB1R;EUR;RSE;BALTIC SECONDARY LIST;0,48;0,48;0,48;0,47;0,47;0,47;-%;0,46;0,47;2;824;396,33;
RRR1R;EUR;RSE;BALTIC SECONDARY LIST;0,00;0,65;0,00;0,00;0,65;0,65;-%;0,57;0,68;0;0;0,00;
SCM1R;EUR;RSE;BALTIC SECONDARY LIST;0,00;1,92;0,00;0,00;1,92;1,92;-%;0,00;0,00;0;0;0,00;
SMA1R;EUR;RSE;BALTIC SECONDARY LIST;0,00;7,11;0,00;0,00;7,11;7,11;-%;6,05;6,83;0;0;0,00;
SRS1L;EUR;VSE;BALTIC SECONDARY LIST;0,10;0,10;0,10;0,09;0,09;0,10;3,13%;0,09;0,10;217;1148572;111828,32;
SRS2L;EUR;VSE;BALTIC SECONDARY LIST;1,74;1,74;1,74;1,74;1,68;1,74;3,45%;1,47;1,74;1;50;86,89;
STU1L;EUR;VSE;BALTIC SECONDARY LIST;1,26;1,26;1,26;1,26;1,16;1,26;8,75%;1,14;1,26;1;100;125,98;
TKB1R;EUR;RSE;BALTIC SECONDARY LIST;0,00;0,54;0,00;0,00;0,54;0,54;-%;0,50;0,55;0;0;0,00;
TMA1R;EUR;RSE;BALTIC SECONDARY LIST;0,00;0,73;0,00;0,00;0,73;0,73;-%;0,58;0,78;0;0;0,00;
VDG1L;EUR;VSE;BALTIC SECONDARY LIST;0,00;0,32;0,00;0,00;0,32;0,32;-%;0,00;0,32;0;0;0,00;
VEF1R;EUR;RSE;BALTIC SECONDARY LIST;0,00;1,64;0,00;0,00;1,64;1,64;-%;0,00;0,00;0;0;0,00;
VSS1R;EUR;RSE;BALTIC SECONDARY LIST;0,49;0,50;0,57;0,48;0,50;0,48;-2,86%;0,47;0,48;16;6585;3207,72;
VST1L;EUR;VSE;BALTIC SECONDARY LIST;0,00;124,54;0,00;0,00;124,54;124,54;-%;117,30;130,33;0;0;0,00;
ZMP1L;EUR;VSE;BALTIC SECONDARY LIST;0,16;0,17;0,17;0,16;0,17;0,17;-1,72%;0,15;0,17;4;8050;1302,86;
ZOV1R;EUR;RSE;BALTIC SECONDARY LIST;0,00;1,20;0,00;0,00;1,20;1,20;-%;0,00;0,00;0;0;0,00;
