BALTIC EQUITY LIST
DATE: 2008-11-25
Name;Currency;MarketPlace;ListName;Average Price;Open Price;High Price;Low Price;Last close Price;Last Price;Price Change(%);Best bid;Best ask;Deals;No of shares;Turnover
APG1L;EUR;VSE;BALTIC MAIN LIST;0,66;0,67;0,70;0,62;0,65;0,63;-2,67%;0,63;0,65;88;120773;79297,63;
ARC1T;EUR;TSE;BALTIC MAIN LIST;0,19;0,18;0,19;0,18;0,18;0,18;-%;0,18;0,19;14;27442;5202,56;
AVG1L;EUR;VSE;BALTIC MAIN LIST;0,88;0,90;0,96;0,87;0,85;0,87;1,69%;0,77;0,87;10;4028;3563,02;
BLT1T;EUR;TSE;BALTIC MAIN LIST;0,97;1,02;1,02;0,94;0,95;0,95;-%;0,95;0,96;37;88117;85044,19;
CTS1L;EUR;VSE;BALTIC MAIN LIST;0,87;0,84;0,87;0,84;0,86;0,87;1,01%;0,86;0,87;3;1350;1168,62;
EEG1T;EUR;TSE;BALTIC MAIN LIST;0,83;0,83;0,83;0,76;0,76;0,80;5,26%;0,77;0,80;11;11135;9223,60;
EEH1T;EUR;TSE;BALTIC MAIN LIST;1,10;1,09;1,17;1,06;1,02;1,10;7,84%;1,06;1,14;19;104827;115347,59;
ETLAT;EUR;TSE;BALTIC MAIN LIST;4,00;3,97;4,06;3,97;4,00;4,00;-%;3,98;4,00;84;143859;575672,58;
GRD1R;EUR;RSE;BALTIC MAIN LIST;4,50;4,47;4,58;4,47;4,47;4,47;-%;4,47;4,54;8;1240;5579,51;
HAE1T;EUR;TSE;BALTIC MAIN LIST;1,70;1,70;1,70;1,70;1,58;1,70;7,59%;1,36;1,70;1;200;340,00;
IVL1L;EUR;VSE;BALTIC MAIN LIST;0,40;0,43;0,45;0,36;0,42;0,40;-5,52%;0,37;0,40;43;29993;12084,22;
JRV1T;EUR;TSE;BALTIC MAIN LIST;0,19;0,20;0,20;0,19;0,19;0,19;-%;0,18;0,19;2;5050;960,00;
KLV1T;EUR;TSE;BALTIC MAIN LIST;0,00;0,95;0,00;0,00;0,95;0,95;-%;0,95;1,05;0;0;0,00;
LDJ1L;EUR;VSE;BALTIC MAIN LIST;0,33;0,32;0,33;0,32;0,32;0,33;4,55%;0,32;0,33;9;6800;2223,93;
LSC1R;EUR;RSE;BALTIC MAIN LIST;1,11;1,12;1,14;1,10;1,10;1,10;-%;1,08;1,10;13;10155;11234,27;
MRK1T;EUR;TSE;BALTIC MAIN LIST;3,00;2,90;3,27;2,90;3,00;2,91;-3,00%;2,91;3,00;26;13076;39205,26;
NRM1T;EUR;TSE;BALTIC MAIN LIST;0,00;3,30;0,00;0,00;3,30;3,30;-%;3,05;3,29;0;0;0,00;
OEG1T;EUR;TSE;BALTIC MAIN LIST;0,56;0,56;0,58;0,54;0,53;0,56;5,66%;0,55;0,56;58;72398;40337,60;
OLF1R;EUR;RSE;BALTIC MAIN LIST;0,78;0,80;0,81;0,75;0,75;0,78;3,77%;0,77;0,78;12;2132;1656,37;
PTR1L;EUR;VSE;BALTIC MAIN LIST;0,36;0,36;0,36;0,34;0,34;0,36;6,78%;0,35;0,37;30;22016;7820,19;
PZV1L;EUR;VSE;BALTIC MAIN LIST;0,94;0,87;0,98;0,87;1,08;0,98;-8,87%;0,97;0,98;7;510;476,86;
RST1L;EUR;VSE;BALTIC MAIN LIST;0,62;0,62;0,66;0,61;0,62;0,62;0,94%;0,62;0,65;28;138575;86278,64;
RSU1L;EUR;VSE;BALTIC MAIN LIST;0,52;0,52;0,52;0,52;0,52;0,52;-%;0,45;0,52;1;210;109,48;
SAB1L;EUR;VSE;BALTIC MAIN LIST;0,25;0,26;0,27;0,24;0,25;0,25;-2,30%;0,24;0,25;33;110078;27721,85;
SAF1R;EUR;RSE;BALTIC MAIN LIST;0,56;0,53;0,58;0,53;0,53;0,53;-%;0,51;0,53;13;2600;1444,21;
SAN1L;EUR;VSE;BALTIC MAIN LIST;2,64;2,68;2,69;2,61;2,61;2,61;-%;2,44;2,61;8;529;1394,66;
