5 5 100.5
5 10 226.8
5 15 509.4
5 20 955.8
5 25 1331.4
5 30 2073.4
5 35 2608.7
5 40 2804.9
5 45 3551.6
5 50 3829.4
5 55 4057.5
5 60 4774.9
5 65 5153.1
5 70 5238.4
5 75 5947.4
5 80 6097.5
5 85 6242.5
5 90 6674.4
5 95 7056.6
5 100 7328.3
10 5 139.1
10 10 344.7
10 15 569
10 20 828.1
10 25 1282.8
10 30 1503.1
10 35 2985.1
10 40 4614
10 45 8023.2
10 50 8387.2
10 55 13269.4
10 60 11548.5
10 65 10366.5
10 70 16321.2
10 75 16676.3
10 80 17542.8
10 85 19091.5
10 90 17702.5
10 95 19422
10 100 19755.7
15 5 160.2
15 10 436.5
15 15 716.7
15 20 1029.6
15 25 1352.6
15 30 1927.5
15 35 2469.9
15 40 2468.6
15 45 5846.6
15 50 8125.7
15 55 7268.2
15 60 17178.5
15 65 9474.9
15 70 18410.9
15 75 28208.2
15 80 39803.2
15 85 42296.8
15 90 41761.1
15 95 44585.6
15 100 41564.3
20 5 168.9
20 10 480.9
20 15 814.9
20 20 1194.4
20 25 1653.7
20 30 1858.8
20 35 2526.4
20 40 3661.4
20 45 3789.1
20 50 4663.1
20 55 12797.3
20 60 6713.7
20 65 16232.1
20 70 29423.1
20 75 30598.2
20 80 55858.7
20 85 47593.4
20 90 65721.2
20 95 98155.3
20 100 87506.5
25 5 164.8
25 10 481.6
25 15 801.5
25 20 1383
25 25 1939.1
25 30 2544.4
25 35 3045.2
25 40 3901.2
25 45 4034
25 50 4859.8
25 55 7027.2
25 60 9193.6
25 65 6478.1
25 70 10683
25 75 10824.6
25 80 13047.7
25 85 17663.5
25 90 26088.4
25 95 43477
25 100 51204
