5 5 72.5
5 10 177.2
5 15 681.5
5 20 1184.1
5 25 2210.7
5 30 3550.6
5 35 5171.5
5 40 5692.1
5 45 7367.6
5 50 7462
5 55 8970.7
5 60 9656.6
5 65 10362.9
5 70 12809.9
5 75 12022.2
5 80 13532
5 85 13030.1
5 90 14248.5
5 95 15921.3
5 100 15380.1
10 5 102.9
10 10 325.8
10 15 458.9
10 20 998.1
10 25 5100
10 30 2851.5
10 35 9547
10 40 29986.3
10 45 66856.1
10 50 86953.4
10 55 166719.0
10 60 161304.0
10 65 138564.0
10 70 194013.0
10 75 227620
10 80 268098.0
10 85 247037
10 90 255689.0
10 95 298662.0
10 100 280830.0
15 5 120.5
15 10 343.3
15 15 683.4
15 20 1152
15 25 1128.3
15 30 7328.9
15 35 3303.4
15 40 2927.7
15 45 32343
15 50 243070.0
15 55 482739.0
15 60 1.41956e+06
15 65 408742.0
15 70 1.49196e+06
15 75 3.6684e+06
15 80 4.22738e+06
15 85 5.25813e+06
15 90 6.2095e+06
15 95 5.32204e+06
15 100 5.44396e+06
20 5 127.7
20 10 386.2
20 15 669
20 20 1022.1
20 25 1683.1
20 30 2784.9
20 35 2892.3
20 40 40956.1
20 45 169396.0
20 50 51318.6
20 55 1.09082e+06
20 60 300914.0
20 65 1.78686e+06
20 70 6.08082e+06
20 75 13104084
20 80 3.27368e+07
20 85 2.90586e+07
20 90 6.63396e+07
20 95 7.86721e+07
20 100 7.81086e+07
25 5 124
25 10 390.1
25 15 650
25 20 1156.2
25 25 2761.2
25 30 2672.4
25 35 3934
25 40 345969.0
25 45 14192.1
25 50 24743.1
25 55 206345.0
25 60 3.18848e+06
25 65 243908.0
25 70 1.13341e+07
25 75 8.60599e+06
25 80 1.16628e+07
25 85 3753990
25 90 6.81381e+07
25 95 7.56143e+07
25 100 189023227
